epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,163.773,0.54709,2.26119,1.16381,0.01929,0.93333,0.47745,0.24611,1.65234,3.36987,1.76061,8.32e-05,8.32e-05,8.32e-05
42,168.035,0.64038,2.27992,1.34662,0.01929,0.93333,0.47745,0.24611,1.65234,3.36987,1.76061,7.7162e-05,7.7162e-05,7.7162e-05
43,172.313,0.63411,2.4471,1.38672,0.01916,0.93333,0.47642,0.24805,1.65876,3.35146,1.77985,7.0728e-05,7.0728e-05,7.0728e-05
44,176.561,0.49416,2.16192,1.09703,0.01916,0.93333,0.47642,0.24805,1.65876,3.35146,1.77985,6.3898e-05,6.3898e-05,6.3898e-05
45,180.713,0.62744,2.15012,1.16744,0.01911,0.93333,0.48628,0.25586,1.6699,3.31891,1.76963,5.6672e-05,5.6672e-05,5.6672e-05
46,184.909,0.66562,2.15026,1.25375,0.01911,0.93333,0.48628,0.25586,1.6699,3.31891,1.76963,4.905e-05,4.905e-05,4.905e-05
47,189.294,0.53047,2.20843,1.10545,0.01829,0.93333,0.48221,0.24522,1.67858,3.29889,1.7726,4.1032e-05,4.1032e-05,4.1032e-05
48,194.241,0.49604,1.93976,1.10105,0.01829,0.93333,0.48221,0.24522,1.67858,3.29889,1.7726,3.2618e-05,3.2618e-05,3.2618e-05
49,198.804,0.54227,2.05834,1.07872,0.01763,0.93333,0.48185,0.25178,1.68182,3.28513,1.78609,2.3808e-05,2.3808e-05,2.3808e-05
50,203.295,0.45256,2.01229,1.13049,0.01763,0.93333,0.48185,0.25178,1.68182,3.28513,1.78609,1.4602e-05,1.4602e-05,1.4602e-05
